Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-09-04 00:00:00-04:00,29564.25,29577.75,29563.0,29575.5,915,0.0,0.0
2026-09-04 00:15:00-04:00,29576.0,29595.0,29567.5,29593.0,1270,0.0,0.0
2026-09-04 00:30:00-04:00,29592.25,29601.25,29585.0,29588.0,918,0.0,0.0
2026-09-04 00:45:00-04:00,29588.5,29599.75,29583.25,29598.25,629,0.0,0.0
2026-09-04 01:00:00-04:00,29597.5,29623.5,29593.75,29621.5,1542,0.0,0.0
2026-09-04 01:15:00-04:00,29621.0,29643.0,29620.25,29622.75,1850,0.0,0.0
2026-09-04 01:30:00-04:00,29622.0,29625.25,29605.5,29608.5,1163,0.0,0.0
2026-09-04 01:45:00-04:00,29609.25,29622.0,29591.5,29620.75,1608,0.0,0.0
2026-09-04 02:00:00-04:00,29620.25,29643.75,29617.0,29642.25,1894,0.0,0.0
2026-09-04 02:15:00-04:00,29641.75,29642.25,29622.5,29631.25,1334,0.0,0.0
2026-09-04 02:30:00-04:00,29631.5,29633.0,29595.75,29604.0,1552,0.0,0.0
2026-09-04 02:45:00-04:00,29603.5,29604.0,29574.0,29576.75,1196,0.0,0.0
2026-09-04 03:00:00-04:00,29577.75,29623.75,29575.25,29620.0,1882,0.0,0.0
2026-09-04 03:15:00-04:00,29619.5,29637.25,29607.25,29636.25,1078,0.0,0.0
2026-09-04 03:30:00-04:00,29635.75,29653.0,29628.0,29646.75,1770,0.0,0.0
2026-09-04 03:45:00-04:00,29646.5,29658.25,29641.25,29652.25,1120,0.0,0.0
2026-09-04 04:00:00-04:00,29653.75,29669.25,29635.5,29650.25,2482,0.0,0.0
2026-09-04 04:15:00-04:00,29650.75,29672.0,29645.0,29668.5,1204,0.0,0.0
2026-09-04 04:30:00-04:00,29670.0,29673.0,29643.75,29658.5,1011,0.0,0.0
2026-09-04 04:45:00-04:00,29658.25,29664.75,29647.0,29658.5,954,0.0,0.0
2026-09-04 05:00:00-04:00,29657.5,29658.25,29625.25,29628.5,1184,0.0,0.0
2026-09-04 05:15:00-04:00,29629.75,29642.5,29616.5,29624.5,1115,0.0,0.0
2026-09-04 05:30:00-04:00,29625.75,29647.0,29618.5,29643.0,836,0.0,0.0
2026-09-04 05:45:00-04:00,29644.5,29661.75,29643.5,29657.25,967,0.0,0.0
2026-09-04 06:00:00-04:00,29656.75,29668.75,29653.25,29661.5,978,0.0,0.0
2026-09-04 06:15:00-04:00,29660.75,29686.0,29658.5,29678.5,1252,0.0,0.0
2026-09-04 06:30:00-04:00,29676.5,29683.75,29668.5,29679.5,849,0.0,0.0
2026-09-04 06:45:00-04:00,29680.0,29704.5,29675.75,29680.0,1377,0.0,0.0
2026-09-04 07:00:00-04:00,29681.5,29686.0,29650.75,29660.0,1460,0.0,0.0
2026-09-04 07:15:00-04:00,29660.5,29676.75,29655.5,29662.5,981,0.0,0.0
2026-09-04 07:30:00-04:00,29663.75,29676.25,29661.0,29671.25,1045,0.0,0.0
2026-09-04 07:45:00-04:00,29671.0,29690.0,29666.5,29683.25,1220,0.0,0.0
2026-09-04 08:00:00-04:00,29682.0,29686.25,29627.0,29643.25,3593,0.0,0.0
2026-09-04 08:15:00-04:00,29642.25,29694.0,29631.75,29674.25,2710,0.0,0.0
2026-09-04 08:30:00-04:00,29674.5,29693.75,29531.25,29557.75,14727,0.0,0.0
2026-09-04 08:45:00-04:00,29557.25,29557.75,29502.0,29546.5,8906,0.0,0.0
2026-09-04 09:00:00-04:00,29547.0,29556.75,29523.0,29548.25,5677,0.0,0.0
2026-09-04 09:15:00-04:00,29548.25,29591.0,29546.75,29588.0,7106,0.0,0.0
2026-09-04 09:30:00-04:00,29588.75,29647.0,29554.5,29616.5,39323,0.0,0.0
2026-09-04 09:45:00-04:00,29616.25,29691.75,29577.5,29691.0,24421,0.0,0.0
2026-09-04 10:00:00-04:00,29690.5,29691.0,29594.0,29648.5,23351,0.0,0.0
2026-09-04 10:15:00-04:00,29648.0,29649.75,29564.75,29595.5,22946,0.0,0.0
2026-09-04 10:30:00-04:00,29596.25,29598.25,29531.0,29533.5,19318,0.0,0.0
2026-09-04 10:45:00-04:00,29533.25,29544.25,29498.75,29521.0,19000,0.0,0.0
2026-09-04 11:00:00-04:00,29520.0,29541.25,29497.25,29540.5,15497,0.0,0.0
2026-09-04 11:15:00-04:00,29540.75,29543.0,29484.25,29506.75,14642,0.0,0.0
2026-09-04 11:30:00-04:00,29506.75,29524.5,29478.0,29520.5,11585,0.0,0.0
2026-09-04 11:45:00-04:00,29520.0,29522.25,29487.0,29515.0,10109,0.0,0.0
2026-09-04 12:00:00-04:00,29514.75,29554.25,29505.0,29547.75,9821,0.0,0.0
2026-09-04 12:15:00-04:00,29548.0,29565.25,29536.0,29554.0,8203,0.0,0.0
2026-09-04 12:30:00-04:00,29554.5,29574.0,29548.75,29568.0,7902,0.0,0.0
2026-09-04 12:45:00-04:00,29568.25,29595.75,29565.0,29576.0,9365,0.0,0.0
2026-09-04 13:00:00-04:00,29576.25,29580.5,29531.75,29535.25,8913,0.0,0.0
2026-09-04 13:15:00-04:00,29534.75,29543.5,29504.25,29508.0,7826,0.0,0.0
2026-09-04 13:30:00-04:00,29508.0,29508.5,29474.75,29478.25,9541,0.0,0.0
2026-09-04 13:45:00-04:00,29479.0,29498.25,29468.0,29491.75,9201,0.0,0.0
2026-09-04 14:00:00-04:00,29491.5,29497.75,29471.25,29489.0,7883,0.0,0.0
2026-09-04 14:15:00-04:00,29488.25,29514.5,29484.5,29511.0,7236,0.0,0.0
2026-09-04 14:30:00-04:00,29511.0,29524.5,29504.0,29520.75,7237,0.0,0.0
2026-09-04 14:45:00-04:00,29521.25,29542.5,29520.0,29538.75,6053,0.0,0.0
2026-09-04 15:00:00-04:00,29538.75,29544.0,29506.75,29511.25,7339,0.0,0.0
2026-09-04 15:15:00-04:00,29511.0,29531.25,29510.5,29526.5,5268,0.0,0.0
2026-09-04 15:30:00-04:00,29526.5,29547.5,29519.25,29541.0,7602,0.0,0.0
2026-09-04 15:45:00-04:00,29540.75,29586.5,29540.0,29569.25,25230,0.0,0.0
2026-09-04 16:00:00-04:00,29568.75,29569.0,29529.5,29541.25,7731,0.0,0.0
2026-09-04 16:15:00-04:00,29541.25,29543.25,29529.75,29531.5,1193,0.0,0.0
2026-09-04 16:30:00-04:00,29531.75,29532.0,29514.5,29530.75,2127,0.0,0.0
2026-09-04 16:45:00-04:00,29530.5,29565.25,29519.5,29565.25,1972,0.0,0.0
