Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,date
2026-05-06 00:00:00-04:00,28319.25,28324.25,28314.0,28324.25,921,0.0,0.0,2026-05-06
2026-05-06 00:15:00-04:00,28325.0,28331.0,28318.5,28327.75,737,0.0,0.0,2026-05-06
2026-05-06 00:30:00-04:00,28328.5,28332.25,28312.0,28326.25,1143,0.0,0.0,2026-05-06
2026-05-06 00:45:00-04:00,28327.25,28344.5,28325.75,28335.5,1405,0.0,0.0,2026-05-06
2026-05-06 01:00:00-04:00,28334.75,28349.0,28328.75,28342.5,1084,0.0,0.0,2026-05-06
2026-05-06 01:15:00-04:00,28341.75,28348.0,28326.0,28346.0,1108,0.0,0.0,2026-05-06
2026-05-06 01:30:00-04:00,28345.5,28347.25,28331.0,28344.75,947,0.0,0.0,2026-05-06
2026-05-06 01:45:00-04:00,28344.25,28359.75,28344.0,28355.0,1281,0.0,0.0,2026-05-06
2026-05-06 02:00:00-04:00,28354.25,28369.0,28326.25,28334.75,1851,0.0,0.0,2026-05-06
2026-05-06 02:15:00-04:00,28333.75,28337.5,28318.0,28329.75,1289,0.0,0.0,2026-05-06
2026-05-06 02:30:00-04:00,28330.25,28342.75,28300.0,28325.5,2545,0.0,0.0,2026-05-06
2026-05-06 02:45:00-04:00,28325.5,28337.0,28312.5,28336.25,954,0.0,0.0,2026-05-06
2026-05-06 03:00:00-04:00,28335.25,28352.75,28314.25,28318.75,2716,0.0,0.0,2026-05-06
2026-05-06 03:15:00-04:00,28318.25,28334.0,28308.0,28328.25,1659,0.0,0.0,2026-05-06
2026-05-06 03:30:00-04:00,28329.25,28339.5,28316.25,28338.75,1294,0.0,0.0,2026-05-06
2026-05-06 03:45:00-04:00,28338.75,28350.5,28334.25,28347.75,1870,0.0,0.0,2026-05-06
2026-05-06 04:00:00-04:00,28348.0,28364.5,28342.0,28348.75,3506,0.0,0.0,2026-05-06
2026-05-06 04:15:00-04:00,28347.5,28350.0,28323.75,28339.75,1971,0.0,0.0,2026-05-06
2026-05-06 04:30:00-04:00,28339.25,28365.0,28334.75,28362.0,2179,0.0,0.0,2026-05-06
2026-05-06 04:45:00-04:00,28362.0,28517.75,28360.75,28482.75,12027,0.0,0.0,2026-05-06
2026-05-06 05:00:00-04:00,28482.5,28498.5,28415.0,28448.5,5222,0.0,0.0,2026-05-06
2026-05-06 05:15:00-04:00,28449.0,28473.25,28447.0,28466.25,3154,0.0,0.0,2026-05-06
2026-05-06 05:30:00-04:00,28465.5,28509.0,28457.75,28497.0,4171,0.0,0.0,2026-05-06
2026-05-06 05:45:00-04:00,28497.25,28514.25,28481.0,28506.25,3233,0.0,0.0,2026-05-06
2026-05-06 06:00:00-04:00,28507.75,28538.25,28501.5,28512.75,4624,0.0,0.0,2026-05-06
2026-05-06 06:15:00-04:00,28511.75,28557.25,28508.25,28553.75,4221,0.0,0.0,2026-05-06
2026-05-06 06:30:00-04:00,28553.25,28590.75,28551.25,28583.75,4712,0.0,0.0,2026-05-06
2026-05-06 06:45:00-04:00,28583.0,28614.5,28560.5,28585.0,7272,0.0,0.0,2026-05-06
2026-05-06 07:00:00-04:00,28584.0,28634.25,28577.75,28620.5,6919,0.0,0.0,2026-05-06
2026-05-06 07:15:00-04:00,28620.75,28631.0,28585.5,28596.25,4284,0.0,0.0,2026-05-06
2026-05-06 07:30:00-04:00,28597.25,28608.5,28546.5,28548.0,5380,0.0,0.0,2026-05-06
2026-05-06 07:45:00-04:00,28548.5,28561.0,28512.0,28538.25,6263,0.0,0.0,2026-05-06
2026-05-06 08:00:00-04:00,28539.25,28540.25,28440.0,28452.0,8730,0.0,0.0,2026-05-06
