Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,date
2026-08-13 00:00:00-04:00,53847.0,53856.0,53842.0,53845.0,79,0.0,0.0,2026-08-13
2026-08-13 00:15:00-04:00,53845.0,53858.0,53838.0,53856.0,42,0.0,0.0,2026-08-13
2026-08-13 00:30:00-04:00,53855.0,53857.0,53850.0,53854.0,57,0.0,0.0,2026-08-13
2026-08-13 00:45:00-04:00,53853.0,53867.0,53852.0,53859.0,71,0.0,0.0,2026-08-13
2026-08-13 01:00:00-04:00,53858.0,53871.0,53858.0,53869.0,69,0.0,0.0,2026-08-13
2026-08-13 01:15:00-04:00,53871.0,53871.0,53859.0,53869.0,80,0.0,0.0,2026-08-13
2026-08-13 01:30:00-04:00,53870.0,53877.0,53860.0,53875.0,87,0.0,0.0,2026-08-13
2026-08-13 01:45:00-04:00,53872.0,53877.0,53869.0,53871.0,49,0.0,0.0,2026-08-13
2026-08-13 02:00:00-04:00,53872.0,53893.0,53872.0,53888.0,112,0.0,0.0,2026-08-13
2026-08-13 02:15:00-04:00,53889.0,53899.0,53889.0,53889.0,99,0.0,0.0,2026-08-13
2026-08-13 02:30:00-04:00,53891.0,53891.0,53879.0,53889.0,93,0.0,0.0,2026-08-13
2026-08-13 02:45:00-04:00,53890.0,53909.0,53879.0,53907.0,136,0.0,0.0,2026-08-13
2026-08-13 03:00:00-04:00,53907.0,53918.0,53895.0,53903.0,226,0.0,0.0,2026-08-13
2026-08-13 03:15:00-04:00,53905.0,53909.0,53891.0,53909.0,90,0.0,0.0,2026-08-13
2026-08-13 03:30:00-04:00,53908.0,53934.0,53908.0,53931.0,144,0.0,0.0,2026-08-13
2026-08-13 03:45:00-04:00,53931.0,53940.0,53921.0,53924.0,132,0.0,0.0,2026-08-13
2026-08-13 04:00:00-04:00,53924.0,53963.0,53905.0,53956.0,261,0.0,0.0,2026-08-13
2026-08-13 04:15:00-04:00,53957.0,53974.0,53935.0,53965.0,218,0.0,0.0,2026-08-13
2026-08-13 04:30:00-04:00,53970.0,53983.0,53962.0,53976.0,194,0.0,0.0,2026-08-13
2026-08-13 04:45:00-04:00,53975.0,53987.0,53968.0,53979.0,192,0.0,0.0,2026-08-13
2026-08-13 05:00:00-04:00,53981.0,54002.0,53977.0,53996.0,259,0.0,0.0,2026-08-13
2026-08-13 05:15:00-04:00,53994.0,54020.0,53993.0,54009.0,142,0.0,0.0,2026-08-13
2026-08-13 05:30:00-04:00,54005.0,54009.0,53991.0,53997.0,183,0.0,0.0,2026-08-13
2026-08-13 05:45:00-04:00,53997.0,54002.0,53985.0,53986.0,61,0.0,0.0,2026-08-13
2026-08-13 06:00:00-04:00,53987.0,54021.0,53976.0,53977.0,238,0.0,0.0,2026-08-13
2026-08-13 06:15:00-04:00,53980.0,53989.0,53969.0,53973.0,116,0.0,0.0,2026-08-13
2026-08-13 06:30:00-04:00,53975.0,53985.0,53974.0,53978.0,59,0.0,0.0,2026-08-13
2026-08-13 06:45:00-04:00,53979.0,53992.0,53978.0,53986.0,102,0.0,0.0,2026-08-13
2026-08-13 07:00:00-04:00,53988.0,53997.0,53977.0,53994.0,159,0.0,0.0,2026-08-13
2026-08-13 07:15:00-04:00,53995.0,54010.0,53988.0,54006.0,204,0.0,0.0,2026-08-13
2026-08-13 07:30:00-04:00,54006.0,54040.0,54004.0,54039.0,222,0.0,0.0,2026-08-13
2026-08-13 07:45:00-04:00,54039.0,54044.0,54002.0,54007.0,343,0.0,0.0,2026-08-13
2026-08-13 08:00:00-04:00,54008.0,54045.0,54008.0,54028.0,341,0.0,0.0,2026-08-13
2026-08-13 08:15:00-04:00,54027.0,54030.0,53980.0,54004.0,454,0.0,0.0,2026-08-13
2026-08-13 08:30:00-04:00,54004.0,54057.0,53977.0,54033.0,538,0.0,0.0,2026-08-13
2026-08-13 08:45:00-04:00,54035.0,54057.0,54034.0,54056.0,329,0.0,0.0,2026-08-13
2026-08-13 09:00:00-04:00,54056.0,54069.0,54019.0,54030.0,822,0.0,0.0,2026-08-13
2026-08-13 09:15:00-04:00,54031.0,54057.0,54003.0,54028.0,807,0.0,0.0,2026-08-13
2026-08-13 09:30:00-04:00,54028.0,54082.0,53945.0,53985.0,4718,0.0,0.0,2026-08-13
2026-08-13 09:45:00-04:00,53990.0,54052.0,53933.0,53997.0,3269,0.0,0.0,2026-08-13
2026-08-13 10:00:00-04:00,53996.0,54114.0,53995.0,54062.0,3176,0.0,0.0,2026-08-13
2026-08-13 10:15:00-04:00,54065.0,54149.0,54000.0,54111.0,3120,0.0,0.0,2026-08-13
2026-08-13 10:30:00-04:00,54110.0,54113.0,54001.0,54002.0,2074,0.0,0.0,2026-08-13
2026-08-13 10:45:00-04:00,54001.0,54002.0,53903.0,53936.0,2123,0.0,0.0,2026-08-13
2026-08-13 11:00:00-04:00,53938.0,53969.0,53830.0,53838.0,2148,0.0,0.0,2026-08-13
2026-08-13 11:15:00-04:00,53836.0,53844.0,53715.0,53740.0,2470,0.0,0.0,2026-08-13
2026-08-13 11:30:00-04:00,53739.0,53803.0,53734.0,53784.0,1664,0.0,0.0,2026-08-13
2026-08-13 11:45:00-04:00,53781.0,53813.0,53754.0,53758.0,1359,0.0,0.0,2026-08-13
2026-08-13 12:00:00-04:00,53759.0,53798.0,53756.0,53772.0,902,0.0,0.0,2026-08-13
2026-08-13 12:15:00-04:00,53774.0,53813.0,53765.0,53812.0,669,0.0,0.0,2026-08-13
2026-08-13 12:30:00-04:00,53811.0,53836.0,53799.0,53812.0,719,0.0,0.0,2026-08-13
2026-08-13 12:45:00-04:00,53812.0,53831.0,53807.0,53820.0,345,0.0,0.0,2026-08-13
2026-08-13 13:00:00-04:00,53820.0,53863.0,53816.0,53838.0,626,0.0,0.0,2026-08-13
2026-08-13 13:15:00-04:00,53842.0,53863.0,53842.0,53844.0,409,0.0,0.0,2026-08-13
2026-08-13 13:30:00-04:00,53845.0,53849.0,53806.0,53823.0,580,0.0,0.0,2026-08-13
2026-08-13 13:45:00-04:00,53826.0,53851.0,53826.0,53841.0,434,0.0,0.0,2026-08-13
