Datetime,Open,High,Low,Close,Volume
2026-07-23 00:00:00-04:00,29112.0,29136.75,29068.5,29136.75,1762
2026-07-23 00:15:00-04:00,29135.25,29163.0,29111.75,29151.5,1990
2026-07-23 00:30:00-04:00,29153.5,29165.25,29137.75,29141.5,1217
2026-07-23 00:45:00-04:00,29141.25,29158.25,29112.5,29125.25,1210
2026-07-23 01:00:00-04:00,29126.0,29129.0,29100.0,29118.75,1042
2026-07-23 01:15:00-04:00,29116.5,29170.75,29098.5,29170.75,1702
2026-07-23 01:30:00-04:00,29170.25,29183.25,29137.5,29148.75,1404
2026-07-23 01:45:00-04:00,29148.75,29148.75,29079.25,29088.0,1629
2026-07-23 02:00:00-04:00,29088.0,29116.5,29077.25,29097.5,1357
2026-07-23 02:15:00-04:00,29099.75,29112.25,29079.25,29108.75,1269
2026-07-23 02:30:00-04:00,29108.0,29114.0,29081.5,29081.75,1092
2026-07-23 02:45:00-04:00,29082.75,29119.25,29074.0,29084.0,1468
2026-07-23 03:00:00-04:00,29083.75,29086.75,28954.0,28996.25,4893
2026-07-23 03:15:00-04:00,28996.75,29038.75,28993.5,29015.5,2574
2026-07-23 03:30:00-04:00,29015.75,29019.75,28937.5,28940.5,2620
2026-07-23 03:45:00-04:00,28940.0,28989.25,28922.25,28987.5,2462
2026-07-23 04:00:00-04:00,28988.75,29042.0,28958.25,29034.75,2621
2026-07-23 04:15:00-04:00,29035.5,29061.25,29017.0,29051.0,2603
2026-07-23 04:30:00-04:00,29049.25,29061.5,29030.75,29037.75,1294
2026-07-23 04:45:00-04:00,29036.5,29111.0,29033.75,29103.0,1758
2026-07-23 05:00:00-04:00,29103.5,29137.75,29079.75,29082.25,2410
2026-07-23 05:15:00-04:00,29080.75,29103.0,29078.0,29091.0,1053
2026-07-23 05:30:00-04:00,29092.0,29092.0,29067.25,29074.25,1064
2026-07-23 05:45:00-04:00,29076.75,29087.25,29045.0,29055.25,1305
2026-07-23 06:00:00-04:00,29054.25,29067.0,29038.0,29043.0,1267
2026-07-23 06:15:00-04:00,29042.25,29063.5,29036.0,29053.0,1198
2026-07-23 06:30:00-04:00,29051.75,29122.25,29045.25,29101.25,2567
2026-07-23 06:45:00-04:00,29100.5,29108.0,29094.0,29103.0,936
2026-07-23 07:00:00-04:00,29103.0,29106.5,29033.75,29058.75,1930
2026-07-23 07:15:00-04:00,29056.0,29072.5,28992.5,28993.75,2894
2026-07-23 07:30:00-04:00,28994.75,29002.25,28913.0,28925.25,4746
2026-07-23 07:45:00-04:00,28927.0,28985.0,28913.5,28965.0,3906
2026-07-23 08:00:00-04:00,28964.0,28967.75,28914.75,28916.75,2619
2026-07-23 08:15:00-04:00,28915.25,28938.5,28854.5,28864.5,5656
2026-07-23 08:30:00-04:00,28864.5,28875.0,28768.0,28789.25,8587
2026-07-23 08:45:00-04:00,28790.0,28806.5,28754.75,28787.5,6677
2026-07-23 09:00:00-04:00,28786.5,28804.5,28715.75,28727.0,11037
2026-07-23 09:15:00-04:00,28726.5,28731.5,28697.0,28719.25,10981
2026-07-23 09:30:00-04:00,28718.25,28883.0,28657.0,28857.0,42936
2026-07-23 09:45:00-04:00,28855.25,28868.0,28696.0,28707.75,35745
2026-07-23 10:00:00-04:00,28709.25,28801.25,28678.25,28704.75,30434
2026-07-23 10:15:00-04:00,28704.75,28780.25,28686.5,28731.5,20921
2026-07-23 10:30:00-04:00,28731.0,28773.25,28625.5,28645.0,26360
2026-07-23 10:45:00-04:00,28644.5,28670.5,28577.25,28596.75,21773
