Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-09-02 00:00:00-04:00,7635.25,7635.25,7632.75,7634.5,1392,0.0,0.0
2026-09-02 00:15:00-04:00,7634.5,7636.25,7634.0,7634.25,1218,0.0,0.0
2026-09-02 00:30:00-04:00,7634.25,7636.5,7634.0,7634.75,944,0.0,0.0
2026-09-02 00:45:00-04:00,7634.75,7636.0,7634.25,7635.25,841,0.0,0.0
2026-09-02 01:00:00-04:00,7635.5,7637.5,7632.75,7637.0,1297,0.0,0.0
2026-09-02 01:15:00-04:00,7637.0,7640.75,7636.75,7640.5,2195,0.0,0.0
2026-09-02 01:30:00-04:00,7640.5,7643.0,7637.0,7641.25,2632,0.0,0.0
2026-09-02 01:45:00-04:00,7641.5,7641.75,7635.75,7637.25,1180,0.0,0.0
2026-09-02 02:00:00-04:00,7637.5,7639.25,7633.75,7635.75,2509,0.0,0.0
2026-09-02 02:15:00-04:00,7636.0,7636.5,7631.75,7632.25,2827,0.0,0.0
2026-09-02 02:30:00-04:00,7632.25,7643.0,7631.75,7639.75,4264,0.0,0.0
2026-09-02 02:45:00-04:00,7640.0,7641.5,7637.0,7641.25,1709,0.0,0.0
2026-09-02 03:00:00-04:00,7641.25,7647.25,7639.25,7643.75,5031,0.0,0.0
2026-09-02 03:15:00-04:00,7643.5,7646.5,7639.75,7643.0,3682,0.0,0.0
2026-09-02 03:30:00-04:00,7642.75,7643.5,7638.0,7639.0,2504,0.0,0.0
2026-09-02 03:45:00-04:00,7639.0,7640.0,7635.25,7637.5,2439,0.0,0.0
2026-09-02 04:00:00-04:00,7637.5,7643.0,7636.0,7640.0,2511,0.0,0.0
2026-09-02 04:15:00-04:00,7640.0,7642.0,7635.5,7636.5,1658,0.0,0.0
2026-09-02 04:30:00-04:00,7636.75,7639.25,7633.5,7634.25,2441,0.0,0.0
2026-09-02 04:45:00-04:00,7634.25,7634.5,7623.25,7626.5,5901,0.0,0.0
2026-09-02 05:00:00-04:00,7626.5,7633.0,7624.25,7624.5,4077,0.0,0.0
2026-09-02 05:15:00-04:00,7624.5,7628.5,7623.5,7626.0,4295,0.0,0.0
2026-09-02 05:30:00-04:00,7626.0,7626.25,7621.5,7623.0,4608,0.0,0.0
2026-09-02 05:45:00-04:00,7623.0,7626.0,7622.5,7625.75,3074,0.0,0.0
2026-09-02 06:00:00-04:00,7625.75,7626.25,7621.25,7626.0,3292,0.0,0.0
2026-09-02 06:15:00-04:00,7625.75,7628.75,7624.5,7627.0,3335,0.0,0.0
2026-09-02 06:30:00-04:00,7626.75,7627.25,7622.75,7623.25,3060,0.0,0.0
2026-09-02 06:45:00-04:00,7623.5,7626.75,7621.75,7626.75,2677,0.0,0.0
2026-09-02 07:00:00-04:00,7626.5,7635.75,7618.5,7634.25,10144,0.0,0.0
2026-09-02 07:15:00-04:00,7634.25,7638.0,7629.75,7635.75,6183,0.0,0.0
2026-09-02 07:30:00-04:00,7636.0,7641.75,7635.0,7637.75,6567,0.0,0.0
2026-09-02 07:45:00-04:00,7637.75,7646.25,7637.25,7646.25,5437,0.0,0.0
2026-09-02 08:00:00-04:00,7646.25,7654.0,7645.0,7653.0,12677,0.0,0.0
2026-09-02 08:15:00-04:00,7652.5,7658.75,7649.0,7650.25,16940,0.0,0.0
2026-09-02 08:30:00-04:00,7650.0,7650.75,7644.25,7645.25,8285,0.0,0.0
2026-09-02 08:45:00-04:00,7645.25,7645.5,7639.25,7640.25,8014,0.0,0.0
2026-09-02 09:00:00-04:00,7640.0,7645.75,7639.75,7643.75,8316,0.0,0.0
2026-09-02 09:15:00-04:00,7643.75,7654.5,7643.0,7650.25,14076,0.0,0.0
2026-09-02 09:30:00-04:00,7650.5,7654.5,7643.0,7654.25,74377,0.0,0.0
2026-09-02 09:45:00-04:00,7654.0,7657.0,7645.75,7656.75,52625,0.0,0.0
2026-09-02 10:00:00-04:00,7656.5,7669.25,7654.75,7668.75,79108,0.0,0.0
2026-09-02 10:15:00-04:00,7668.75,7682.5,7667.0,7679.5,74119,0.0,0.0
2026-09-02 10:30:00-04:00,7679.25,7690.25,7675.5,7689.5,61280,0.0,0.0
2026-09-02 10:45:00-04:00,7689.5,7690.0,7678.0,7679.75,45871,0.0,0.0
2026-09-02 11:00:00-04:00,7679.5,7684.25,7677.5,7681.75,41700,0.0,0.0
2026-09-02 11:15:00-04:00,7681.75,7690.75,7680.25,7689.5,34424,0.0,0.0
2026-09-02 11:30:00-04:00,7689.75,7691.25,7682.75,7683.0,35384,0.0,0.0
2026-09-02 11:45:00-04:00,7683.0,7686.0,7676.0,7685.75,38020,0.0,0.0
2026-09-02 12:00:00-04:00,7685.5,7685.75,7681.75,7683.5,20964,0.0,0.0
2026-09-02 12:15:00-04:00,7683.25,7683.5,7673.0,7675.0,25632,0.0,0.0
2026-09-02 12:30:00-04:00,7674.75,7679.5,7673.25,7673.25,25019,0.0,0.0
2026-09-02 12:45:00-04:00,7673.25,7678.75,7673.25,7675.5,21817,0.0,0.0
2026-09-02 13:00:00-04:00,7675.5,7681.25,7672.25,7675.5,28253,0.0,0.0
2026-09-02 13:15:00-04:00,7675.5,7676.0,7670.75,7673.75,21490,0.0,0.0
2026-09-02 13:30:00-04:00,7673.75,7676.0,7670.0,7675.5,25475,0.0,0.0
2026-09-02 13:45:00-04:00,7675.75,7679.5,7674.0,7678.0,25788,0.0,0.0
2026-09-02 14:00:00-04:00,7678.25,7680.75,7673.75,7678.5,24319,0.0,0.0
2026-09-02 14:15:00-04:00,7678.25,7687.75,7677.75,7680.0,35947,0.0,0.0
2026-09-02 14:30:00-04:00,7680.0,7681.75,7672.75,7673.75,22799,0.0,0.0
2026-09-02 14:45:00-04:00,7673.75,7677.0,7672.5,7674.5,24377,0.0,0.0
2026-09-02 15:00:00-04:00,7674.25,7681.5,7673.25,7680.5,21729,0.0,0.0
2026-09-02 15:15:00-04:00,7680.5,7681.75,7677.0,7681.0,21071,0.0,0.0
2026-09-02 15:30:00-04:00,7681.25,7681.5,7676.75,7679.75,24986,0.0,0.0
2026-09-02 15:45:00-04:00,7680.0,7681.25,7674.0,7678.25,94327,0.0,0.0
2026-09-02 16:00:00-04:00,7678.25,7682.5,7677.25,7680.25,25326,0.0,0.0
2026-09-02 16:15:00-04:00,7680.25,7680.25,7667.5,7671.25,12779,0.0,0.0
2026-09-02 16:30:00-04:00,7671.25,7672.25,7669.75,7669.75,4098,0.0,0.0
2026-09-02 16:45:00-04:00,7669.75,7672.5,7668.75,7669.25,3980,0.0,0.0
2026-09-02 18:00:00-04:00,7673.5,7677.5,7671.5,7677.25,909,0.0,0.0
2026-09-02 18:15:00-04:00,7677.0,7680.0,7675.75,7678.25,992,0.0,0.0
2026-09-02 18:30:00-04:00,7678.25,7678.75,7677.25,7678.0,725,0.0,0.0
2026-09-02 18:45:00-04:00,7678.0,7678.0,7675.75,7676.0,738,0.0,0.0
2026-09-02 19:00:00-04:00,7676.25,7677.75,7675.25,7675.5,949,0.0,0.0
2026-09-02 19:15:00-04:00,7675.5,7676.75,7674.5,7676.75,744,0.0,0.0
2026-09-02 19:30:00-04:00,7676.75,7678.0,7676.25,7677.75,735,0.0,0.0
2026-09-02 19:45:00-04:00,7677.75,7681.25,7677.75,7679.75,2137,0.0,0.0
2026-09-02 20:00:00-04:00,7679.75,7679.75,7675.0,7676.0,2264,0.0,0.0
2026-09-02 20:15:00-04:00,7675.75,7675.75,7671.5,7673.25,2245,0.0,0.0
2026-09-02 20:30:00-04:00,7673.25,7673.75,7672.0,7672.75,1075,0.0,0.0
2026-09-02 20:45:00-04:00,7672.75,7673.75,7672.25,7672.75,947,0.0,0.0
2026-09-02 21:00:00-04:00,7672.5,7677.25,7671.75,7676.75,2083,0.0,0.0
2026-09-02 21:15:00-04:00,7676.5,7679.0,7673.25,7676.5,2347,0.0,0.0
2026-09-02 21:30:00-04:00,7676.25,7679.25,7675.25,7675.75,1853,0.0,0.0
2026-09-02 21:45:00-04:00,7675.5,7677.0,7671.5,7671.75,1382,0.0,0.0
2026-09-02 22:00:00-04:00,7671.75,7679.25,7671.0,7678.5,2027,0.0,0.0
2026-09-02 22:15:00-04:00,7678.5,7679.5,7676.75,7678.5,1239,0.0,0.0
2026-09-02 22:30:00-04:00,7678.5,7680.5,7676.5,7677.0,1243,0.0,0.0
2026-09-02 22:45:00-04:00,7677.0,7679.75,7676.25,7678.75,1035,0.0,0.0
2026-09-02 23:00:00-04:00,7678.5,7680.5,7677.75,7680.25,878,0.0,0.0
2026-09-02 23:15:00-04:00,7680.25,7683.75,7680.25,7681.25,1827,0.0,0.0
2026-09-02 23:30:00-04:00,7681.25,7682.75,7681.0,7682.0,990,0.0,0.0
2026-09-02 23:45:00-04:00,7682.0,7683.5,7681.0,7682.0,1201,0.0,0.0
