Datetime,Open,High,Low,Close,Volume
2025-09-17 00:00:00-04:00,6608.25,6609.25,6607.75,6608.5,120
2025-09-17 00:15:00-04:00,6607.75,6608.25,6606.75,6608.0,76
2025-09-17 00:30:00-04:00,6607.75,6609.75,6607.5,6609.25,121
2025-09-17 00:45:00-04:00,6609.0,6609.0,6608.0,6608.5,38
2025-09-17 01:00:00-04:00,6608.5,6609.25,6606.0,6609.0,85
2025-09-17 01:15:00-04:00,6608.0,6608.0,6605.25,6606.5,120
2025-09-17 01:30:00-04:00,6607.25,6608.0,6606.25,6608.0,198
2025-09-17 01:45:00-04:00,6607.75,6608.75,6607.75,6608.0,63
2025-09-17 02:00:00-04:00,6608.25,6610.25,6606.5,6608.5,224
2025-09-17 02:15:00-04:00,6608.0,6610.0,6607.5,6609.5,326
2025-09-17 02:30:00-04:00,6609.5,6611.25,6608.0,6611.0,173
2025-09-17 02:45:00-04:00,6611.25,6612.0,6610.75,6611.0,325
2025-09-17 03:00:00-04:00,6611.25,6612.75,6609.0,6611.0,510
2025-09-17 03:15:00-04:00,6611.0,6615.0,6610.75,6615.0,391
2025-09-17 03:30:00-04:00,6615.0,6615.5,6613.25,6614.0,500
2025-09-17 03:45:00-04:00,6614.25,6614.25,6613.0,6614.0,399
2025-09-17 04:00:00-04:00,6613.75,6614.5,6609.75,6609.75,383
2025-09-17 04:15:00-04:00,6609.75,6610.75,6608.25,6610.25,201
2025-09-17 04:30:00-04:00,6610.25,6610.5,6595.0,6602.25,4016
2025-09-17 04:45:00-04:00,6602.0,6610.0,6601.5,6608.25,1023
2025-09-17 05:00:00-04:00,6608.5,6611.5,6607.75,6610.0,645
2025-09-17 05:15:00-04:00,6610.0,6612.0,6609.0,6611.5,545
2025-09-17 05:30:00-04:00,6611.5,6612.25,6610.0,6610.25,390
2025-09-17 05:45:00-04:00,6610.25,6611.25,6608.25,6609.25,285
2025-09-17 06:00:00-04:00,6609.0,6610.5,6607.0,6607.0,273
2025-09-17 06:15:00-04:00,6606.5,6609.25,6606.5,6606.75,214
2025-09-17 06:30:00-04:00,6607.0,6607.25,6604.0,6605.25,428
2025-09-17 06:45:00-04:00,6606.0,6606.75,6602.75,6604.75,436
2025-09-17 07:00:00-04:00,6604.75,6608.5,6602.5,6608.0,558
2025-09-17 07:15:00-04:00,6608.0,6608.25,6606.5,6606.75,492
2025-09-17 07:30:00-04:00,6606.5,6606.75,6602.5,6603.25,513
2025-09-17 07:45:00-04:00,6603.0,6607.25,6603.0,6605.5,796
2025-09-17 08:00:00-04:00,6605.75,6607.75,6604.75,6607.0,732
2025-09-17 08:15:00-04:00,6606.75,6608.5,6605.5,6608.5,576
2025-09-17 08:30:00-04:00,6608.25,6610.75,6608.25,6609.0,861
2025-09-17 08:45:00-04:00,6608.5,6610.75,6607.25,6610.75,460
2025-09-17 09:00:00-04:00,6610.5,6611.25,6609.75,6610.5,565
2025-09-17 09:15:00-04:00,6610.5,6613.75,6608.5,6611.75,1085
2025-09-17 09:30:00-04:00,6612.0,6617.0,6609.0,6610.0,8131
2025-09-17 09:45:00-04:00,6610.0,6618.25,6608.0,6610.0,6902
2025-09-17 10:00:00-04:00,6610.25,6611.0,6603.5,6606.0,5212
2025-09-17 10:15:00-04:00,6606.0,6607.25,6602.5,6603.0,3396
2025-09-17 10:30:00-04:00,6603.0,6606.75,6602.0,6603.75,2867
2025-09-17 10:45:00-04:00,6603.75,6608.25,6602.0,6604.75,3009
2025-09-17 11:00:00-04:00,6604.75,6607.25,6601.5,6606.75,2217
2025-09-17 11:15:00-04:00,6606.75,6608.5,6600.5,6601.25,2430
2025-09-17 11:30:00-04:00,6601.0,6605.25,6600.5,6604.0,2420
2025-09-17 11:45:00-04:00,6604.0,6604.75,6600.5,6604.0,2053
2025-09-17 12:00:00-04:00,6604.25,6605.0,6600.0,6600.25,1461
2025-09-17 12:15:00-04:00,6600.25,6601.5,6598.75,6600.5,2455
2025-09-17 12:30:00-04:00,6600.5,6601.25,6593.0,6597.25,2656
2025-09-17 12:45:00-04:00,6597.25,6597.25,6592.75,6594.75,1667
2025-09-17 13:00:00-04:00,6594.75,6598.5,6594.5,6597.5,1967
2025-09-17 13:15:00-04:00,6597.5,6598.5,6595.0,6597.75,1042
2025-09-17 13:30:00-04:00,6598.0,6604.5,6598.0,6600.25,2507
2025-09-17 13:45:00-04:00,6600.5,6608.25,6599.0,6607.75,2304
2025-09-17 14:00:00-04:00,6607.25,6629.0,6590.0,6590.0,17533
2025-09-17 14:15:00-04:00,6590.0,6615.5,6583.0,6615.25,14216
2025-09-17 14:30:00-04:00,6615.5,6617.25,6571.5,6579.0,29459
2025-09-17 14:45:00-04:00,6579.0,6589.75,6554.0,6588.75,26517
2025-09-17 15:00:00-04:00,6588.5,6615.0,6586.25,6593.25,24406
2025-09-17 15:15:00-04:00,6593.25,6618.5,6593.25,6613.0,12435
2025-09-17 15:30:00-04:00,6613.25,6617.0,6601.75,6607.5,11709
2025-09-17 15:45:00-04:00,6607.75,6611.0,6596.0,6602.75,22833
2025-09-17 16:00:00-04:00,6603.0,6611.5,6602.75,6607.0,7870
2025-09-17 16:15:00-04:00,6606.75,6608.25,6602.5,6608.25,1436
2025-09-17 16:30:00-04:00,6608.0,6611.25,6607.0,6608.25,527
2025-09-17 16:45:00-04:00,6608.0,6609.0,6605.0,6607.75,606
2025-09-17 18:00:00-04:00,6606.0,6612.0,6605.75,6612.0,432
2025-09-17 18:15:00-04:00,6612.0,6615.5,6611.25,6615.25,356
2025-09-17 18:30:00-04:00,6615.0,6620.0,6614.5,6619.25,439
2025-09-17 18:45:00-04:00,6619.25,6625.25,6619.0,6623.5,664
2025-09-17 19:00:00-04:00,6623.75,6626.25,6623.75,6624.25,309
2025-09-17 19:15:00-04:00,6624.0,6625.75,6624.0,6624.75,165
2025-09-17 19:30:00-04:00,6624.75,6627.25,6623.0,6623.5,576
2025-09-17 19:45:00-04:00,6624.0,6626.5,6623.75,6625.25,213
2025-09-17 20:00:00-04:00,6625.75,6625.75,6622.5,6623.0,183
2025-09-17 20:15:00-04:00,6623.0,6623.25,6619.75,6620.0,259
2025-09-17 20:30:00-04:00,6620.5,6621.25,6619.5,6620.75,241
2025-09-17 20:45:00-04:00,6620.75,6621.25,6619.5,6620.25,230
2025-09-17 21:00:00-04:00,6620.5,6625.5,6620.0,6624.75,331
2025-09-17 21:15:00-04:00,6624.75,6624.75,6620.75,6622.75,150
2025-09-17 21:30:00-04:00,6622.75,6624.5,6622.5,6624.25,151
2025-09-17 21:45:00-04:00,6624.5,6626.5,6624.25,6625.5,180
2025-09-17 22:00:00-04:00,6625.5,6626.25,6623.75,6625.75,185
2025-09-17 22:15:00-04:00,6626.0,6627.75,6626.0,6627.5,185
2025-09-17 22:30:00-04:00,6627.75,6629.5,6627.5,6628.5,230
2025-09-17 22:45:00-04:00,6628.5,6630.0,6628.5,6630.0,179
2025-09-17 23:00:00-04:00,6629.75,6633.75,6629.5,6631.75,305
2025-09-17 23:15:00-04:00,6632.0,6633.75,6631.5,6632.75,136
2025-09-17 23:30:00-04:00,6632.5,6633.5,6632.0,6632.5,91
2025-09-17 23:45:00-04:00,6632.25,6633.25,6630.75,6632.75,177
