Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-09-02 00:00:00-04:00,2920.300048828125,2920.300048828125,2919.39990234375,2920.199951171875,88,0.0,0.0
2026-09-02 00:15:00-04:00,2920.5,2920.800048828125,2919.800048828125,2919.800048828125,53,0.0,0.0
2026-09-02 00:30:00-04:00,2919.89990234375,2920.800048828125,2919.699951171875,2919.699951171875,74,0.0,0.0
2026-09-02 00:45:00-04:00,2919.800048828125,2920.39990234375,2919.800048828125,2920.10009765625,84,0.0,0.0
2026-09-02 01:00:00-04:00,2919.89990234375,2920.89990234375,2919.0,2920.5,97,0.0,0.0
2026-09-02 01:15:00-04:00,2920.5,2922.699951171875,2920.5,2922.699951171875,127,0.0,0.0
2026-09-02 01:30:00-04:00,2922.89990234375,2924.10009765625,2921.89990234375,2923.699951171875,329,0.0,0.0
2026-09-02 01:45:00-04:00,2923.800048828125,2924.0,2921.10009765625,2921.60009765625,252,0.0,0.0
2026-09-02 02:00:00-04:00,2921.699951171875,2923.10009765625,2920.699951171875,2922.300048828125,304,0.0,0.0
2026-09-02 02:15:00-04:00,2922.300048828125,2922.60009765625,2919.89990234375,2920.199951171875,195,0.0,0.0
2026-09-02 02:30:00-04:00,2920.199951171875,2925.89990234375,2920.199951171875,2924.699951171875,645,0.0,0.0
2026-09-02 02:45:00-04:00,2924.60009765625,2927.0,2923.800048828125,2927.0,458,0.0,0.0
2026-09-02 03:00:00-04:00,2926.89990234375,2932.699951171875,2926.199951171875,2928.699951171875,1806,0.0,0.0
2026-09-02 03:15:00-04:00,2928.60009765625,2930.0,2927.300048828125,2928.699951171875,601,0.0,0.0
2026-09-02 03:30:00-04:00,2928.5,2928.699951171875,2925.5,2925.5,476,0.0,0.0
2026-09-02 03:45:00-04:00,2925.39990234375,2926.89990234375,2923.89990234375,2926.10009765625,429,0.0,0.0
2026-09-02 04:00:00-04:00,2925.89990234375,2927.300048828125,2925.0,2925.39990234375,566,0.0,0.0
2026-09-02 04:15:00-04:00,2925.39990234375,2925.800048828125,2923.5,2924.0,465,0.0,0.0
2026-09-02 04:30:00-04:00,2923.89990234375,2925.199951171875,2922.5,2922.89990234375,473,0.0,0.0
2026-09-02 04:45:00-04:00,2923.0,2923.10009765625,2918.800048828125,2919.699951171875,961,0.0,0.0
2026-09-02 05:00:00-04:00,2919.89990234375,2923.39990234375,2918.89990234375,2919.300048828125,777,0.0,0.0
2026-09-02 05:15:00-04:00,2919.300048828125,2920.699951171875,2918.39990234375,2919.5,398,0.0,0.0
2026-09-02 05:30:00-04:00,2919.699951171875,2919.699951171875,2917.39990234375,2918.699951171875,481,0.0,0.0
2026-09-02 05:45:00-04:00,2918.699951171875,2919.60009765625,2918.300048828125,2919.10009765625,522,0.0,0.0
2026-09-02 06:00:00-04:00,2919.300048828125,2919.5,2916.5,2918.89990234375,399,0.0,0.0
2026-09-02 06:15:00-04:00,2918.800048828125,2919.300048828125,2918.0,2918.199951171875,615,0.0,0.0
