Datetime,Open,High,Low,Close,Volume
2026-02-22 18:00:00-05:00,2666.5,2666.5,2659.3,2663.7,780
2026-02-22 18:15:00-05:00,2663.8,2664.0,2656.9,2658.0,406
2026-02-22 18:30:00-05:00,2657.8,2659.4,2655.2,2656.2,358
2026-02-22 18:45:00-05:00,2656.4,2659.8,2655.6,2659.5,414
2026-02-22 19:00:00-05:00,2659.3,2659.5,2654.7,2655.5,337
2026-02-22 19:15:00-05:00,2655.3,2656.5,2650.0,2651.7,393
2026-02-22 19:30:00-05:00,2651.7,2652.6,2649.1,2649.2,359
2026-02-22 19:45:00-05:00,2649.3,2650.6,2645.2,2646.2,464
2026-02-22 20:00:00-05:00,2645.8,2646.3,2643.0,2646.0,1006
2026-02-22 20:15:00-05:00,2645.6,2649.0,2645.0,2646.5,367
2026-02-22 20:30:00-05:00,2646.5,2647.0,2644.5,2646.0,324
2026-02-22 20:45:00-05:00,2646.0,2647.3,2641.2,2641.2,625
2026-02-22 21:00:00-05:00,2641.3,2643.9,2640.3,2640.9,661
2026-02-22 21:15:00-05:00,2640.9,2644.8,2640.4,2644.1,266
2026-02-22 21:30:00-05:00,2644.0,2644.8,2643.1,2644.1,165
2026-02-22 21:45:00-05:00,2644.2,2644.2,2642.3,2643.0,152
2026-02-22 22:00:00-05:00,2642.9,2643.5,2642.0,2642.6,199
2026-02-22 22:15:00-05:00,2642.7,2642.7,2640.3,2642.1,145
2026-02-22 22:30:00-05:00,2642.2,2642.2,2639.6,2641.9,254
2026-02-22 22:45:00-05:00,2642.1,2642.2,2641.4,2641.7,81
2026-02-22 23:00:00-05:00,2641.7,2642.6,2641.1,2641.7,79
2026-02-22 23:15:00-05:00,2641.7,2642.2,2640.4,2641.4,63
2026-02-22 23:30:00-05:00,2641.5,2641.7,2639.3,2640.2,107
2026-02-22 23:45:00-05:00,2640.1,2641.1,2639.6,2640.5,58
