Datetime,Open,High,Low,Close,Volume
2025-08-19 00:00:00-04:00,2296.3,2296.4,2295.6,2296.0,79
2025-08-19 00:15:00-04:00,2295.9,2295.9,2294.6,2294.7,132
2025-08-19 00:30:00-04:00,2294.5,2295.1,2294.1,2294.9,110
2025-08-19 00:45:00-04:00,2294.9,2295.5,2294.8,2295.1,73
2025-08-19 01:00:00-04:00,2295.6,2295.9,2294.0,2294.0,69
2025-08-19 01:15:00-04:00,2294.1,2294.8,2293.2,2293.6,281
2025-08-19 01:30:00-04:00,2293.6,2294.4,2293.0,2293.6,108
2025-08-19 01:45:00-04:00,2293.7,2293.7,2292.2,2292.8,153
2025-08-19 02:00:00-04:00,2292.7,2294.7,2292.6,2294.7,146
2025-08-19 02:15:00-04:00,2294.4,2295.5,2294.1,2295.2,92
2025-08-19 02:30:00-04:00,2295.1,2295.5,2294.6,2295.1,77
2025-08-19 02:45:00-04:00,2294.9,2296.6,2294.8,2295.9,271
2025-08-19 03:00:00-04:00,2296.0,2297.5,2296.0,2296.7,323
2025-08-19 03:15:00-04:00,2296.6,2297.9,2295.9,2296.2,121
2025-08-19 03:30:00-04:00,2296.0,2297.4,2295.5,2297.2,232
2025-08-19 03:45:00-04:00,2297.0,2297.0,2296.0,2296.3,117
2025-08-19 04:00:00-04:00,2296.3,2297.3,2294.8,2295.4,485
2025-08-19 04:15:00-04:00,2295.7,2297.5,2295.3,2297.5,128
2025-08-19 04:30:00-04:00,2297.4,2297.5,2296.1,2297.2,147
2025-08-19 04:45:00-04:00,2297.2,2298.2,2297.1,2297.3,134
2025-08-19 05:00:00-04:00,2297.3,2298.2,2297.0,2297.5,155
2025-08-19 05:15:00-04:00,2297.5,2298.7,2297.5,2298.2,139
2025-08-19 05:30:00-04:00,2298.2,2298.8,2297.9,2298.1,104
2025-08-19 05:45:00-04:00,2298.2,2298.5,2297.0,2297.5,142
2025-08-19 06:00:00-04:00,2297.3,2298.3,2295.7,2297.9,405
2025-08-19 06:15:00-04:00,2298.0,2298.4,2297.3,2297.7,102
2025-08-19 06:30:00-04:00,2297.6,2298.2,2296.5,2297.8,207
2025-08-19 06:45:00-04:00,2297.7,2297.8,2296.1,2297.0,95
2025-08-19 07:00:00-04:00,2296.9,2298.3,2296.9,2297.8,184
2025-08-19 07:15:00-04:00,2297.9,2298.8,2297.5,2298.2,112
2025-08-19 07:30:00-04:00,2298.0,2298.1,2297.0,2297.5,155
2025-08-19 07:45:00-04:00,2297.6,2301.0,2297.5,2300.4,706
2025-08-19 08:00:00-04:00,2300.3,2300.5,2298.6,2298.6,373
2025-08-19 08:15:00-04:00,2299.0,2299.7,2297.8,2299.2,440
2025-08-19 08:30:00-04:00,2299.1,2301.1,2298.4,2300.2,782
2025-08-19 08:45:00-04:00,2300.1,2300.9,2297.9,2300.4,718
2025-08-19 09:00:00-04:00,2300.4,2301.1,2299.0,2299.5,606
2025-08-19 09:15:00-04:00,2299.7,2302.0,2299.5,2301.6,1062
2025-08-19 09:30:00-04:00,2301.7,2305.3,2299.1,2302.5,10266
2025-08-19 09:45:00-04:00,2302.4,2303.7,2299.1,2300.9,6824
2025-08-19 10:00:00-04:00,2300.8,2311.4,2300.8,2305.3,9968
2025-08-19 10:15:00-04:00,2305.5,2308.4,2304.1,2306.3,4349
2025-08-19 10:30:00-04:00,2306.2,2307.5,2299.5,2300.2,4995
2025-08-19 10:45:00-04:00,2300.3,2300.8,2293.6,2293.8,7332
2025-08-19 11:00:00-04:00,2293.7,2296.4,2291.1,2293.5,5839
2025-08-19 11:15:00-04:00,2293.6,2295.3,2291.6,2293.8,3198
2025-08-19 11:30:00-04:00,2293.6,2295.4,2287.5,2289.1,4816
2025-08-19 11:45:00-04:00,2289.2,2289.6,2284.2,2286.3,3629
