Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,date
2026-07-16 00:00:00-04:00,7624.0,7626.5,7623.75,7626.25,1708,0.0,0.0,2026-07-16
2026-07-16 00:15:00-04:00,7626.25,7626.25,7622.0,7622.5,1059,0.0,0.0,2026-07-16
2026-07-16 00:30:00-04:00,7622.75,7623.25,7620.5,7621.5,929,0.0,0.0,2026-07-16
2026-07-16 00:45:00-04:00,7621.25,7623.0,7620.5,7621.75,617,0.0,0.0,2026-07-16
2026-07-16 01:00:00-04:00,7622.0,7626.75,7621.75,7626.75,1397,0.0,0.0,2026-07-16
2026-07-16 01:15:00-04:00,7626.75,7630.0,7626.0,7627.5,3042,0.0,0.0,2026-07-16
2026-07-16 01:30:00-04:00,7627.75,7632.0,7616.75,7620.0,5105,0.0,0.0,2026-07-16
2026-07-16 01:45:00-04:00,7620.0,7620.75,7615.5,7617.0,1975,0.0,0.0,2026-07-16
2026-07-16 02:00:00-04:00,7617.25,7625.0,7613.5,7622.0,5337,0.0,0.0,2026-07-16
2026-07-16 02:15:00-04:00,7622.0,7623.5,7617.0,7618.0,2126,0.0,0.0,2026-07-16
2026-07-16 02:30:00-04:00,7617.75,7618.5,7611.0,7615.5,3055,0.0,0.0,2026-07-16
2026-07-16 02:45:00-04:00,7615.5,7619.0,7613.75,7618.25,1778,0.0,0.0,2026-07-16
2026-07-16 03:00:00-04:00,7618.25,7618.75,7610.0,7610.25,3476,0.0,0.0,2026-07-16
2026-07-16 03:15:00-04:00,7610.0,7613.25,7608.5,7610.5,2615,0.0,0.0,2026-07-16
2026-07-16 03:30:00-04:00,7610.75,7611.75,7605.75,7606.25,3088,0.0,0.0,2026-07-16
2026-07-16 03:45:00-04:00,7606.25,7606.5,7600.0,7601.75,4494,0.0,0.0,2026-07-16
2026-07-16 04:00:00-04:00,7601.75,7603.0,7593.5,7594.0,6781,0.0,0.0,2026-07-16
2026-07-16 04:15:00-04:00,7594.25,7603.75,7593.75,7601.5,4072,0.0,0.0,2026-07-16
2026-07-16 04:30:00-04:00,7601.5,7606.0,7600.5,7603.75,2146,0.0,0.0,2026-07-16
2026-07-16 04:45:00-04:00,7603.75,7610.0,7603.75,7609.5,2328,0.0,0.0,2026-07-16
2026-07-16 05:00:00-04:00,7609.75,7613.75,7609.75,7613.0,2882,0.0,0.0,2026-07-16
2026-07-16 05:15:00-04:00,7613.25,7615.5,7610.5,7610.75,2731,0.0,0.0,2026-07-16
2026-07-16 05:30:00-04:00,7610.75,7613.0,7608.75,7608.75,1653,0.0,0.0,2026-07-16
2026-07-16 05:45:00-04:00,7608.5,7610.25,7605.0,7605.0,3809,0.0,0.0,2026-07-16
2026-07-16 06:00:00-04:00,7605.25,7607.75,7602.25,7606.25,2072,0.0,0.0,2026-07-16
2026-07-16 06:15:00-04:00,7606.0,7606.25,7601.5,7604.5,1949,0.0,0.0,2026-07-16
2026-07-16 06:30:00-04:00,7604.5,7607.25,7602.0,7603.5,2033,0.0,0.0,2026-07-16
2026-07-16 06:45:00-04:00,7603.75,7604.5,7600.75,7603.0,3892,0.0,0.0,2026-07-16
2026-07-16 07:00:00-04:00,7602.75,7603.25,7596.0,7600.75,4464,0.0,0.0,2026-07-16
2026-07-16 07:15:00-04:00,7600.75,7603.5,7595.75,7599.75,3832,0.0,0.0,2026-07-16
2026-07-16 07:30:00-04:00,7600.0,7600.0,7594.75,7596.75,3121,0.0,0.0,2026-07-16
2026-07-16 07:45:00-04:00,7596.75,7598.0,7580.75,7597.25,13600,0.0,0.0,2026-07-16
